×®ºÅ£¨km£©,Ê¶±ð¿í¶È£¨m£©,ÆÆËðÂÊ DR£¨£¥£©,ÍøÁÑ£¨©O£©,×ÝÏòÁÑ·ì£¨m£©,ºáÏòÁÑ·ì£¨m£©,¿Ó²Û£¨©O£©
0,2.7,0,0,0,0,0
0.01,2.7,0,0,0,0,0
0.02,2.7,0,0,0,0,0
0.03,2.7,0,0,0,0,0
0.04,2.7,0,0,0,0,0
0.05,2.7,0,0,0,0,0
0.06,2.7,0,0,0,0,0
0.07,2.7,0,0,0,0,0
0.08,2.7,0,0,0,0,0
0.09,2.7,0,0,0,0,0
0.1,2.7,0,0,0,0,0
0.11,2.7,0,0,0,0,0
0.12,2.7,0,0,0,0,0
0.13,2.7,0,0,0,0,0
0.14,2.7,0,0,0,0,0
0.15,2.7,0,0,0,0,0
0.16,2.7,0,0,0,0,0
0.17,2.7,0,0,0,0,0
0.18,2.7,0,0,0,0,0
0.19,2.7,0,0,0,0,0
0.2,2.7,0,0,0,0,0
0.21,2.7,0,0,0,0,0
0.22,2.7,0,0,0,0,0
0.23,2.7,0,0,0,0,0
0.24,2.7,0,0,0,0,0
0.25,2.7,0,0,0,0,0
0.26,2.7,0,0,0,0,0
0.27,2.7,0,0,0,0,0
0.28,2.7,0,0,0,0,0
0.29,2.7,0,0,0,0,0
0.3,2.7,0,0,0,0,0
0.31,2.7,0,0,0,0,0
0.32,2.7,0,0,0,0,0
0.33,2.7,0,0,0,0,0
0.34,2.7,0,0,0,0,0
0.35,2.7,0,0,0,0,0
0.36,2.7,0,0,0,0,0
0.37,2.7,0,0,0,0,0
0.38,2.7,0,0,0,0,0
0.39,2.7,0,0,0,0,0
0.4,2.7,0,0,0,0,0
0.41,2.7,0,0,0,0,0
0.42,2.7,0,0,0,0,0
0.43,2.7,0,0,0,0,0
0.44,2.7,0,0,0,0,0
0.45,2.7,0,0,0,0,0
0.46,2.7,0,0,0,0,0
0.47,2.7,0,0,0,0,0
0.48,2.7,0,0,0,0,0
0.49,2.7,0,0,0,0,0
0.5,2.7,0,0,0,0,0
0.51,2.7,0,0,0,0,0
0.52,2.7,0,0,0,0,0
